Catalog_Number,Match_Ranking,Resource_Name,Abbreviated_Citation,Perceived_Impact,Developer_Sector,Stream_type_requirements,Geographic_applicability,Adaptable_to_other_locations,Agency_or_organization,Year_of_publication_or_latest_update,Assessment_Class,Hydrology,Hydraulics,Geomorphology,Physicochemical,Biology,Biology_and_Stream_Habitat,Connectivity_Aquatic_Organism_Passage,Stream_Habitat,Riparian_Zone,Variability,Stream_Classification,Time_Required_Tasks_only,Training_Needed,Location_of_Assessment,Tier_of_analysis,Input_Data_Type,Output_Data_Type,Data_Availability,Reference_Required,Performance_Standards_or_Reference_Curves_Used,Programmatic_Applications,Region_of_development_application,State_of_development_application,USACE_Division_use,USACE_District_use,URL_for_tool_or_data_storage,URL_for_user_guide,Notes,Long_Citation,Introductory_Description
146,146,Texas Rapid Assessment Method (TXRAM) Stream Module,USACE 2015,Low,Public,.,.,.,USACE,2015,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Texas,Southwest Division,Fort Worth District,.,https://www.swf.usace.army.mil/Portals/47/docs/regulatory/Permitting/Submittal%20 Forms/TXRAM_Wetlands_and_Streams_Modules_Version_2.0_Final.pdf,-,.,.
147,147,Tulsa District Aquatic Resource Mitigation and Monitoring Guidelines (Texas),USACE 2004,Low,Public,.,.,.,USACE,2004,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Texas,Southwest Division,Tulsa District,.,https://www.swt.usace.army.mil/Portals/41/docs/missions/regulatory/mitigation/MMG.pdf,-,.,.
148,148,South Dakota HGM Methodology,"Brinson et al., 1995",Low,Public,.,.,.,.,1995,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,South Dakota,NW Division,Omaha District,.,no website (guidebook),-,.,.
149,149,Ohio IRT (Huntington District application),Ohio IRT 2016,Low,Public,.,.,.,.,2016,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ohio,Great Lakes and Ohio River Division,Huntington District,.,https://www.lrh.usace.army.mil/Portals/38/docs/regulatory/Guidelines%20for%20Stream%20Mitigation%20Banking%20and%20In-Lieu%20Fee%20Programs%20in%20Oh.pdf,using until final implementation of OSWVM,.,.
150,150,"Ohio IRT (Buffalo District, New York state application)",Ohio IRT 2017,Low,Public,.,.,.,.,2017,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,New York,Great Lakes and Ohio River Division,Buffalo District,.,cannot locate,-,.,.
151,151,"Ohio IRT (Buffalo District, Ohio application)",Ohio IRT 2016,Low,Public,.,.,.,.,2016,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ohio,Great Lakes and Ohio River Division,Buffalo District,.,https://www.lrh.usace.army.mil/Portals/38/docs/regulatory/Guidelines%20for%20Stream%20Mitigation%20Banking%20and%20In-Lieu%20Fee%20Programs%20in%20Oh.pdf,-,.,.
152,152,AMU in Kentucky (Louisville District),USACE 2013,Low,Public,.,.,.,.,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Kentucky,Great Lakes and Ohio River Division,Louisville District,https://www.lrl.usace.army.mil/Portals/64/docs/regulatory/Mitigation/StreamMitigationCalc.xls,.,-,.,.
153,153,AMU in Kentucky (Nashville District),USACE,Low,Public,.,.,.,USACE,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Kentucky,Great Lakes and Ohio River Division,Nashville District,.,.,.,.,.
154,154,Modified SPFA for Maryland,Harman et al. 2012,Low,Public,.,.,.,.,2012,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Maryland,North Atlantic Division,Baltimore District,.,.,.,.,.
155,155,Modified SPFA rapid assessment for Virginia,.,Low,,.,.,.,.,2012,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,North Atlantic Division,Baltimore District,.,.,-,.,.
156,156,ALL CRAM: California Rapid Assessment Method + RIPRAM,.,Low,,.,.,.,.,2017,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,.,.,.,.,.
157,157,"CRAM (USACE South Pacific Division, Los Angeles Dist.)",USACE 2017b,Low,Public,.,.,.,.,2017,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,California,South Pacific Division,Los Angeles District,.,.,.,.,.
158,158,CRAM for California (USACE Sacramento District),USACE 2017b,Low,Public,.,.,.,.,2017,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,California,.,.,.,.,.,.,.
159,159,San Francisco Ratios and CRAM,USACE 2017b,Low,Public,.,.,.,.,2017,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,South Pacific Division,San Francisco District,.,.,-,.,.
160,160,RIPRAM (The Riparian Rapid Assessment Method for California),Central Coast Wetlands Group (CCWG) 2023,Low,Private,.,.,.,"Multiple agencies (Central Coast Wetlands Group at Moss landing Marine Labs, the Southern California Coastal Water Research Project, and the San Francisco Estuary Institute)",2023,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,https://mlml.sjsu.edu/ccwg/ripram/,https://mlml.sjsu.edu/ccwg/wp-content/uploads/sites/23/2024/03/RipRAM_fieldbook-V3.1_2024.3.21.pdf,"Central Coast Wetlands Group (CCWG). 2023. Riparian Rapid Assessment Method for California (RipRAM), Version 3.1 pp. 34  ",.
161,161,"Methods for evaluating stream, riparian, and biotic conditions (MESC)",Plats et al. 1983,Low,Public,.,.,.,USDA,1983,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,https://www.fs.usda.gov/research/treesearch/29138,.,.,.
162,162,MCSH (NAWQA): Revised Methods for Characterizing Stream Habitat in the National Water-Quality Assessment Program,Fitzpatrick et al. 1998; Plafkin et al. (1989),Low,Public,.,.,.,USGS,1989,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,https://pubs.usgs.gov/wri/wri984052/pdf/wri98-4052.pdf,.,.,.
163,163,Value Stream Maturity Model (VSMM),US Env Protection Ag (1997),Low,Public,.,.,.,EPA,1997,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,.,.,.
164,164,RHVSA-EMAP: Environmental Monitoring and Assessment Program-Surface Waters: Field Operations and Methods for Measuring the Ecological Condition of Wadeable Streams,Lazorchak et al (1998),Low,Public,.,.,.,EPA,1998,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,https://archive.epa.gov/emap/archive-emap/web/pdf/sec01-2.pdf,.,.,.
165,165,PHC (EMAP): Physical Habitat Characterization,Kaufmann et al. (1999),Low,Public,.,.,.,EPA,1999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
166,166,Stream and Riparian Habitats Rapid Assessment Protocol (SRHRAP),Starr and McCandless (2001),Low,.,.,.,.,Starr,2001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,.,.,.
167,167,Physical Habitat and Water Chemistry Assessment Protocol for Wadeable Stream Monitoring Sites (MinHWCP),Minnesota Pollution Control Ag. (2002),Low,Public,.,.,.,Minnesota,2002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,.,.,.
168,168,Montana Natural HeritageWetland Assessment (MNHWA),Crowe and Kudray (2003),Low,.,.,.,.,Crowe,2003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,.,.,.
169,169,Subjective Evaluation of Aquatic Habitats (SEvalAH),Kansas Dept of Wildlife and Parks (2004),Low,Public,.,.,.,Kansas Dept of Wildlife and Parks,2004,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
170,170,Wadeable Stream Assessment (WSAss),USEPA (2004),Low,Public,.,.,.,EPA,2004,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
171,171,Vermont Stream Geomorphic Assessment (VSGA),VANR (2004),Low,Public,.,.,.,VANR,2004,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
172,172,Non-Wadeable Habitat Index (NWHI),Wilhelm et al (2005),Low,.,.,.,.,.,2004,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
173,173,Fish and Fish Habitat Standard Inventory Procedures (FFHSIP),Overton et al (1997),Low,.,.,.,.,Overton,1997,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,https://www.fs.usda.gov/rm/pubs_int/int_gtr346.pdf,.,.,.
174,174,SIH (Stream Inventory Handbook),USFS (2006),Low,Public,.,.,.,USFS,2006,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
175,175,MBSS (Maryland Biological Stream Survey),Stranko et al. (2010),Low,.,.,.,.,Stranko,2010,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
176,176,Site Characterization Screening (SCS-SH),MDEP (2009),Low,Public,.,.,.,MDEP,2009,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
177,177,Stream Corridor Assessment (SCA),Yetman (2001),Low,.,.,.,.,Yetman,2001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
178,178,Watershed Condition Evaluation (WCE),OWEB (2000),Low,.,.,.,.,OWEB,2000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
179,179,"Ratios applied in California, Nevada, and Utah",USACE 2017b,Low,Public,.,.,.,USACE,2017,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"California, Nevada, Utah",South Pacific Division,Sacramento District,.,.,.,.,.
180,180,Louisville District AMU,USACE 2009,Low,Public,.,.,.,.,2009,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Kentucky,Mississippi Valley Division,Memphis District,.,https://www.lrl.usace.army.mil/Portals/64/docs/regulatory/Mitigation/ProgramInformation.pdf,.,.,.
181,181,Functional Capacity Index (FCI),various sources,Medium,.,.,.,.,.,2001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,.,-,general methodology used by various sources,.,.
182,182,Idaho River Ecological Assessment Framework,Idaho DEQ (Grafe et al.) 2002b,Low,Public,.,.,.,Idaho Department of Evnironmental Quality,2002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Idaho,.,.,.,-,.,.,.
183,183,Idaho Small Stream Ecological Assessment Framework,Idaho DEQ (Grafe et al.) 2002a,Low,Public,.,.,.,Idaho Department of Evnironmental Quality,2002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Idaho,.,.,.,.,.,.,.
184,184,Effectiveness monitoring for streams and riparian areas within the Pacific Northwest: stream channel methods for core attributes,USFS 2004,Low,Public,.,.,.,USFS,2004,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"WA, OR, ID, MT, NV, WY, CA",.,.,.,http://www.reo.gov/monitoring/reports/watershed-reports-publications.shtml,.,.,.
185,185,Field evaluation manual for Ohio’s primary headwater habitat streams,OEPA 2002 or 2009,Low,Public,primary headwater habitat (PHWH) streams in Ohio,Ohio,No,Ohio EPA,2002,Protocol,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,CWA,.,Ohio,.,.,.,http://www.epa.ohio.gov/dsw/wqs/headwaters/index.aspx,.,.,.
